Model,Type,Train/Test,R²,MSE,MAE,RMSE,Max Error,RSE,RAE,Huber Loss,Adjusted R²
Boosting,MLP KNeighbors,Train,83.70632405551099,13.937402665188682,28.055590312463018,3.733283094702126,2.470005118276561,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744254
Boosting,MLP KNeighbors,Test,83.75576613199273,13.880056473426702,28.041283066919508,3.725594781162694,2.421658132218619,16.244233868007274,37.331510092968536,6.812667725382355,-15.24525397814719
Stacking,MLP KNeighbors,Train,95.31740848542665,4.005429080432784,14.080312825152836,2.001356809874937,1.827287521764824,4.682591514573343,18.740021524934097,1.9977306984420522,-3.6826895280011724
Stacking,MLP KNeighbors,Test,92.93463007904276,6.037079637327771,17.52721702838441,2.45704693429486,1.7339726988914892,7.06536992095724,23.334077753691854,3.006747598225248,-6.065813614119826
Voting,MLP KNeighbors,Train,94.09219569425382,5.053460481038315,16.49347747335222,2.2479903204948,1.726254791506616,5.907804305746175,21.951793735682234,2.5214146679978584,-4.907927964653677
Voting,MLP KNeighbors,Test,92.19584021210146,6.668346409184372,19.044750658105585,2.582314157724496,1.6745497331906385,7.804159787898539,25.354378389691913,3.32426883248632,-6.804649875802834
,,,,,,,,,,,
Bagging,MLP DecisionTree,Train,90.24442447862138,8.34479492137561,21.605754180867766,2.8887358690914633,1.926369140372146,9.755575521378624,28.75591639474117,4.147047127970568,-8.75577971971501
Bagging,MLP DecisionTree,Test,89.34416154014043,9.104993242300987,22.70181525483904,3.0174481341525965,1.8763238337575001,10.65583845985957,30.22304804285236,4.523708363924746,-9.656507628313465
Boosting,MLP DecisionTree,Train,83.70632405551099,13.937402665188683,28.055590312463018,3.733283094702126,2.4700051182765606,16.29367594448902,37.34024754131005,6.839225620255819,-15.294016994744254
Boosting,MLP DecisionTree,Test,83.75650794314386,13.879422625086796,28.03971509701908,3.7255097134602666,2.421658132218618,16.243492056856145,37.329422646255644,6.8123508012124026,-15.244512120411585
Stacking,MLP DecisionTree,Train,99.20615552861811,0.6790444396266201,6.220983682084647,0.8240415278531902,0.5430924653014492,0.7938444713818922,8.279742755450082,0.33952221981331004,0.20613891230264592
