Bagging Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 76.37045672630313, 'MAE': 34.758081950769636, 'MSE': 20.21241004927462, 'RMSE': 4.49582139872956, 'Adj R²': 0.7635957072822923, 'Max Error': 2.576083294294665, 'Huber Loss': 9.88982678579723, 'RSE': 23.629543273696864, 'RAE': 46.260847469187965}
Bagging Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 76.62524277833742, 'MAE': 34.61411525894585, 'MSE': 19.972807146559234, 'RMSE': 4.4690946674420795, 'Adj R²': 0.7659290644815591, 'Max Error': 2.4659511464147235, 'Huber Loss': 9.79154399603991, 'RSE': 23.37475722166258, 'RAE': 46.08195673731231}

Boosting Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 83.70632405551098, 'MAE': 28.055590312463018, 'MSE': 13.937402665188687, 'RMSE': 3.7332830947021267, 'Adj R²': 0.8369881765037677, 'Max Error': 2.4700051182765597, 'Huber Loss': 6.839225620255821, 'RSE': 16.29367594448902, 'RAE': 37.34024754131005}
Boosting Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 83.75654753632152, 'MAE': 28.03934539157218, 'MSE': 13.879388794279723, 'RMSE': 3.7255051730308635, 'Adj R²': 0.8373407655888325, 'Max Error': 2.4216581322186186, 'Huber Loss': 6.812333885808866, 'RSE': 16.243452463678477, 'RAE': 37.32893045541725}

Stacking Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 99.75994426183146, 'MAE': 3.2408329190067873, 'MSE': 0.20534061781655708, 'RMSE': 0.4531452502416384, 'Adj R²': 0.9975983366949911, 'Max Error': 0.5353580662921387, 'Huber Loss': 0.10267030890827854, 'RSE': 0.2400557381685474, 'RAE': 4.313347254075866}
Stacking Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 98.20432335504061, 'MAE': 6.936726046682236, 'MSE': 1.5343347948921866, 'RMSE': 1.2386826853121773, 'Adj R²': 0.9820183923970457, 'Max Error': 1.6960372841453313, 'Huber Loss': 0.7627949782801741, 'RSE': 1.7956766449593848, 'RAE': 9.234900478907496}

Voting Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 96.21659184075176, 'MAE': 13.651219728696065, 'MSE': 3.2362791025089757, 'RMSE': 1.7989661204450116, 'Adj R²': 0.962148488458298, 'Max Error': 1.1752169433658664, 'Huber Loss': 1.618012815187796, 'RSE': 3.7834081592482387, 'RAE': 18.168925274186332}
Voting Combination: ('Linear', 'MLP', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 94.34699249954161, 'MAE': 16.040979234530507, 'MSE': 4.830271712943058, 'RMSE': 2.1977879135492255, 'Adj R²': 0.9433917220368485, 'Max Error': 1.767776688391683, 'Huber Loss': 2.4046188522519296, 'RSE': 5.653007500458386, 'RAE': 21.355441431331034}

----------------------------------------
Bagging Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 76.37034774134686, 'MAE': 34.755800935215014, 'MSE': 20.21250327361671, 'RMSE': 4.495831766605231, 'Adj R²': 0.763594616930642, 'Max Error': 2.5783546803367643, 'Huber Loss': 9.889429251964211, 'RSE': 23.62965225865315, 'RAE': 46.25781157921001}
Bagging Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 76.61848019791127, 'MAE': 34.61540690243092, 'MSE': 19.97858550452821, 'RMSE': 4.46974110039141, 'Adj R²': 0.7658613451246538, 'Max Error': 2.464139047109224, 'Huber Loss': 9.79402834004636, 'RSE': 23.38151980208873, 'RAE': 46.083676309190835}

Boosting Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 83.70632405551098, 'MAE': 28.055590312463014, 'MSE': 13.937402665188687, 'RMSE': 3.7332830947021267, 'Adj R²': 0.8369881765037677, 'Max Error': 2.4700051182765606, 'Huber Loss': 6.839225620255821, 'RSE': 16.29367594448902, 'RAE': 37.34024754131004}
Boosting Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 83.75654753632152, 'MAE': 28.03934539157218, 'MSE': 13.879388794279723, 'RMSE': 3.7255051730308635, 'Adj R²': 0.8373407655888325, 'Max Error': 2.421658132218619, 'Huber Loss': 6.812333885808866, 'RSE': 16.243452463678477, 'RAE': 37.32893045541725}

Stacking Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 99.74421048217526, 'MAE': 3.389341761334156, 'MSE': 0.2187990923351821, 'RMSE': 0.46775965231642425, 'Adj R²': 0.9974409264137885, 'Max Error': 0.6257138701682917, 'Huber Loss': 0.10939954616759105, 'RSE': 0.2557895178247349, 'RAE': 4.511003295984704}
Stacking Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 98.23995602818106, 'MAE': 7.01111088091799, 'MSE': 1.5038880825690872, 'RMSE': 1.226331147190304, 'Adj R²': 0.9823752120661405, 'Max Error': 1.7108913860768657, 'Huber Loss': 0.7487961568969017, 'RSE': 1.7600439718189518, 'RAE': 9.333929406485767}

Voting Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 97.34137948518993, 'MAE': 11.369832090386433, 'MSE': 2.274150092040576, 'RMSE': 1.5080285448361301, 'Adj R²': 0.9734015467362805, 'Max Error': 1.1729879397273266, 'Huber Loss': 1.137029625019427, 'RSE': 2.6586205148100595, 'RAE': 15.132540075963504}
Voting Combination: ('Linear', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 95.31511275825939, 'MAE': 14.37916386703588, 'MSE': 4.003051175904606, 'RMSE': 2.000762648567942, 'Adj R²': 0.9530863174717228, 'Max Error': 1.785848805926172, 'Huber Loss': 1.9940783054652702, 'RSE': 4.684887241740611, 'RAE': 19.14305774631119}

----------------------------------------
